id,track,wave,title,owns_files,depends_on,agent_type,model,effort,isolation,contract_artifact,verify_cmd,gate,done_rung,status,run_id,evidence
O1,kit,0,Commit the agent definitions; stop ignoring .claude/agents,.gitignore;.claude/agents/**,,supervisor,fable,high,none,plan §3,git check-ignore -v .claude/agents/verifier.md; git ls-files .claude/,,COMMITTED,done,wf-os-2026-09-04,six agent definitions under .claude/agents with full model ids + effort; .gitignore rewritten to .claude/* + !.claude/agents/ + .claude/worktrees/; git check-ignore -v .claude/agents/verifier.md prints nothing; .claude/worktrees/x still ignored (line 47); docs/TASKS.csv seeded with 24 rows
O2,kit,0,Port waves.ts and ledger.ts (+tests) from EZiL-Works into tools/,tools/package.json;tools/tsconfig.json;tools/waves.ts;tools/waves.test.ts;tools/ledger.ts;tools/ledger.test.ts,,worker-sonnet,sonnet,high,worktree,EZiL-Works/tools/waves.ts;EZiL-Works/tools/ledger.ts,bun test tools/ && bun tools/waves.ts docs/TASKS.csv,,INDEPENDENT_TEST_PASS,done,wf-os-2026-09-04,"76 pass / 0 fail, 2 files (tools/waves.test.ts, tools/ledger.test.ts), 134 expect() calls; tsc --noEmit -p tools/tsconfig.json exits 0; bun tools/waves.ts docs/TASKS.csv exits 0, no overlapping-ownership, no cycle, every dependency resolves (8 advisory wave-column-stale notes); mutation-proof on a scratch copy of TASKS.csv (D1 given G1's .github/CODEOWNERS): exit 1, 'overlapping-ownership: wave 0 dispatches G1 and D1 together, and both own .github/CODEOWNERS' -> unmutated docs/TASKS.csv still exits 0"
T0,local,0,"Pin the local-mode contracts: SandboxHost, run-spec, shell-api, images.env, .gitattributes",local/package.json;local/tsconfig.json;local/src/host/sandbox-host.ts;local/src/container/run-spec.ts;local/src/container/run-spec.test.ts;local/src/contract/shell-api.ts;local/src/contract/shell-api.test.ts;deploy/images.env;.gitattributes,,worker-opus,opus,max,worktree,plan §5,bun run --cwd local typecheck && bun test local/,,INDEPENDENT_TEST_PASS,done,wf-os-2026-09-04,"bun run --cwd local typecheck -> tsc --noEmit exit 0. bun test local/ -> 49 pass / 0 fail, 208 expect() calls, 2 files, 0 skipped. 8 mutations each taken RED then restored GREEN: (M1a) run-spec NEKO_HTTP_PORT 8181->8182 = 3 fail; (M1b) worker/src/desktop-mode.ts portFor('neko') 8181->8188 = 3 fail (both sides of the import proven); (M2) drop the `<` escape from the local serializer = 6 fail; (M2b) subtler /</ without /g = 4 fail; (M3) remove NEKO_WEBRTC_NAT1TO1 from NEKO_LOCAL_ICE_ENV = 3 fail; (M4) add an 11th SandboxHost member named exposePort = tsc exit 2, TS2344 x2 (member-count AND non-goal checks both fired); (M5) drop the `screen` route key = 4 fail; (M6) add a `ghost` route key the app lacks = 3 fail; (M7) FOCUS_APPS narrowed to ['chromium'] = 1 fail; (M8) isDockerTag replaced by length>0 = 2 fail. Working tree clean after every restore. Live measurements: neko `serve --help` in ezil-neko-vscode:d74052bb-049931d7 confirms --webrtc.{udpmux,tcpmux,nat1to1,icelite} and --webrtc.ip_retrieval_url default https://checkip.amazonaws.com; viper env-vs-config-file precedence measured on the binary (env :77 beats yaml :88, control yaml-only = :88); the image's /etc/neko/neko.yaml ships admin_password 'admin' / user_password 'neko'. git ls-files --eol: 0 tracked .sh/.mjs/.ps1 with CRLF, 0 i/crlf or i/mixed anywhere, and .gitattributes renormalizes nothing (git diff vs HEAD empty after adding it). 6 commits: b92c689, a2f7ef0, d6ac5af, 54983f7, 94400ee, c0ac7f5. ADDITIONAL: docker create accepted the exact buildDockerRunArgv output on Docker 29.1.3 with ezil-os-worker-sandbox:ff199202 -- inspect reported Entrypoint=[/bin/bash], Cmd=[-c DESKTOP_MODE=neko bash /usr/local/bin/start-desktop.sh], 6 port bindings, NanoCpus=2000000000, Memory=8589934592; container removed (not a boot, but no flag is rejected). tsc --traceResolution shows the app subgraph resolving drizzle-orm through app/node_modules, so verify_cmd's typecheck half needs  AND an installed app/; the bun test v1.3.14 (0d9b296a) half needs neither."
G1,oss,0,"Fix CODEOWNERS login; add CodeQL, labeler, stale workflows",.github/CODEOWNERS;.github/workflows/codeql.yml;.github/labeler.yml;.github/workflows/labeler.yml;.github/workflows/stale.yml,,worker-sonnet,sonnet,high,worktree,plan §6 wave 0,gh api repos/EZiLHQ/ezil-os/codeowners/errors; actionlint .github/workflows/*.yml,,STATIC_CHECKS_PASS,done,wf-os-2026-09-04,"5 commits (a2e6d0b run-artifact, d9d18e3 CODEOWNERS fix, 1bdeae1 codeql.yml, 06bcc03 labeler config+workflow, 2abda57 stale.yml). CODEOWNERS: grep -c '@MidhunAkashM$' = 7 (all lines), grep -c '@MidhunAkash$' = 0 -- 0 unresolved logins survive. yaml.safe_load parses all 4 workflow/config YAML files clean (CODEOWNERS is not YAML by design, excluded per brief's 'the four YAML files'). actionlint confirmed NOT installed (which actionlint -> exit 1), not installed per rules; substituted actionlint's tag-typo check with gh api repos/<org>/<repo>/git/ref/tags/<tag> for all 4 pinned actions (actions/checkout@v7, actions/labeler@v5, actions/stale@v9, github/codeql-action@v3) -- all 4 resolve. codeowners/errors API check deferred: only checkable on default branch after merge (named as supervisor hand-off). Repo-label gap found and named as hand-off: none of the 10 labeler.yml target labels (app worker shell sdk mcp e2e docs ci local tools) exist yet in EZiLHQ/ezil-os (gh api repos/EZiLHQ/ezil-os/labels lists only GitHub's 9 defaults) -- labeler.yml's workflow deliberately omits issues:write so it cannot silently create them; someone with repo-settings access must create the 10 labels before the labeler job will actually apply anything."
D1,oss,0,Dependabot: no auto-major bumps; CONTRIBUTING dependency policy,.github/dependabot.yml;CONTRIBUTING.md,,worker-sonnet,sonnet,high,worktree,plan §6 wave 0,"git diff --stat; python3 -c ""import yaml,sys;yaml.safe_load(open('.github/dependabot.yml'))""",,COMMITTED,done,wf-os-2026-09-04,".github/dependabot.yml and CONTRIBUTING.md landed across commits ab6130d, 028e119, c8d9092, 8e1eccf, b20db66. yaml.safe_load parses (verify_cmd form and brief's form both pass): 6 update entries total (1 github-actions + 5 npm/bun: /app /worker /worker/sidecar /sdk /mcp). Every npm/bun entry has exactly one ignore key with a semver-major wildcard (verified: app=1 item, worker=2 items incl. @cloudflare/sandbox, worker/sidecar=1, sdk=1, mcp=1). /sdk and /mcp use package-ecosystem: bun (not npm) after WebFetch-verifying GitHub's Bun ecosystem is distinct from npm for bun.lock projects (bun.lock requires Bun >=1.1.39, which this repo's bun.lock format satisfies). /sdk and /mcp also got groups: patch-and-minor added to match /app and /worker (advisor-flagged consistency gap on my own new entries). Second WebFetch confirmed ignore only suppresses routine version-update PRs, not security updates -- documented in both files' headers. Reworded 'hand-reviewed Dependabot PR' language (advisor-flagged overclaim: PRs are open but unreviewed, and this ignore rule may cause Dependabot to auto-close them on its next run) so the tracked-issue is the stated durable record, not the PR number. Verified app/eslint.config.mjs exists (CONTRIBUTING.md claim), drizzle-zod ^0.6.0 in app/package.json, sdk/src/surface.test.ts reads app/src/server/api/routers/*.ts. git diff --stat 2a3c5bf..HEAD (my actual branch point) touches exactly 3 files: .github/dependabot.yml, CONTRIBUTING.md, artifacts/runs/wf-os-2026-09-04/D1.json. 'git diff --stat main' additionally shows G1's files (CODEOWNERS, CodeQL, labeler, stale workflows, ORCHESTRATION-LOG.md) purely because main advanced past my 2a3c5bf branch point when task/G1 merged after I branched -- no file overlap, no conflict, none of it is my edit. No PR closed, no auto-merge workflow added."
G2,oss,0,GOVERNANCE.md and ROADMAP.md seeded from the plan,GOVERNANCE.md;ROADMAP.md,,worker-opus,opus,max,worktree,plan §1 and §2,verifier reads for claims not backed by plan §2,,COMMITTED,done,wf-os-2026-09-04,"2 files landed: GOVERNANCE.md (188 lines, 1502 words) and ROADMAP.md (274 lines, 2307 words, 10 items). 6 commits, every one with -s: 28e992e (artifact running), fc8e2f0 (GOVERNANCE), 97b8b35 (ROADMAP), 25d13e1 (governance correction), 96a5e72 (roadmap correction), 8d828ed (governance precision pass). LINK CHECK: 26 distinct non-http link targets across both files, 0 dead; the one in-page anchor (#merging-into-main) resolves to '## Merging into `main`' at GOVERNANCE.md:106. Checker covers BOTH inline ](path) and reference-style [x]: path forms. MUTATION-PROVED: a scratch copy of ROADMAP.md with two known-absent paths appended (docs/RELEASE.md, docs/LOCAL-MODE.md) -> checker prints 2 MISS (RED); the shipped pair -> 0 (GREEN), before and after. FUNDING: grep -n FUNDING GOVERNANCE.md -> exactly 1 hit, line 146, '...and there is deliberately no `.github/FUNDING.yml` -- a funding button pointing at a handle nobody watches is worse than no button at all.' ROW MAPPING: 16 distinct row ids cited across the Rows lines (T0 T1 T2 T3 T4 T5 T6 G1 G2 G3 G4 D1 N1 A1 A2 X1), all 16 present in docs/TASKS.csv; 3 of the 10 items carry 'Rows: --' because no row exists (workspace sync from a local install, build-the-OS-inside-the-OS, mobile keyboard -- the last names branch wip/mobile-keyboard instead). 10 Status values, all inside the vocabulary declared in the file's own 'How to read Status' table. DATE SCAN: 5 occurrences of 2026-09-04, all 'as of' stamps; zero deadlines, quarters or month names. TWO CLAIMS FROM THE BRIEF REFUTED BY MEASUREMENT AND LEFT OUT: (1) 'commits by automation carry a Co-Authored-By trailer' -- FALSE of the worker commits in this repo (d9d18e3 G1, ab6130d D1, 0646d96 O2, and my own) which carry Signed-off-by and NO Co-Authored-By; only the orchestrating session's commits carry both, so the doc states it as the project's rule and says plainly it is not yet applied consistently. (2) an earlier draft sentence 'none of these workflows has produced a check run' -- refuted live by gh run list: DCO, CI, CodeQL and PR Labeler are running right now on Dependabot PRs #12/#13; replaced with the distinction that survives, that the checks exist but nothing requires them until G4. GROUND TRUTH TAKEN FROM main, NOT the 2a3c5bf worktree base: G1 merged aaf158a, G3 merged 6df8495 (dco.yml is on main), T0 merged 3b05d3e, docs/TASKS.csv folded at fc6fbcd/c44b5a9 to O1/O2/T0/G1/D1/G3=done, G2/T2/O3=running. git tag is empty (0 tags), so the release paragraph's 'the pipeline has never run' is checkable. worker/Dockerfile:116 installs google-chrome-stable_current_amd64.deb (the arm64 blocker). .github/workflows/ci.yml has 4 jobs, all ubuntu-latest, no matrix. wip/mobile-keyboard is 1 ahead / 36 behind main. LIVE RE-READS AFTER THE FIRST DRAFT (three present-tense claims re-measured rather than trusted): gh api repos/EZiLHQ/ezil-os/rulesets -> [] and .../branches/main/protection -> 404 'Branch not protected' (the 'no protection yet' claim holds); gh api repos/EZiLHQ/ezil-os/tags -> 0 and gh release list -> empty (the 'no v* tag ever' claim holds remotely, not just in the local git tag); gh api repos/EZiLHQ/ezil-os/collaborators -> exactly Thanush-41 (read) and MidhunAkashM (admin), so the maintainer table is measured at repo level and not inferred from org membership. THIRD CLAIM CORRECTED (commit 9e4e82b): an earlier draft said the deploy pipeline 'is arranged so that the verification, not the deploy, is what a release waits on'. FALSE today -- main:.github/workflows/deploy.yml has jobs worker, app, verify, verify-container and NOTHING that publishes a GitHub Release; that job is row R1, pending. Rewritten to attribute it to R1. HAND-OFFS (files I do not own): (1) plan wave-3 track A tells A2 to 'delete app/signup.mjs' -- that file is GITIGNORED (app/.gitignore:47 'signup.mjs'), never tracked, so deleting it is a no-op for anyone who clones; the durable argument survives (the public anon key alone creates users) but the clause is wrong as written. (2) Dependabot has opened three github-actions MAJOR bumps since D1 merged -- PR #11 codeql-action 3->4, #12 labeler 5->7, #13 stale 9->11 -- because D1's semver-major ignore was added to the five npm/bun entries only, and the single github-actions entry has none; G1 pinned labeler v5 / stale v9 deliberately, so Dependabot is now proposing exactly what G1 decided against. Owner: .github/dependabot.yml (D1, merged; nobody owns it now). (3) .github/CODEOWNERS line 1 says 'A CODEOWNER's approval is required before merge', which contradicts G4's required_approving_review_count: 0; GOVERNANCE.md states the ruleset wins, but the comment should be corrected. (4) CONTRIBUTORS.md links github.com/MidhunAkash, a login that does not exist -- G1 fixed this in CODEOWNERS only and no row owns CONTRIBUTORS.md. (5) README.md's Contributing section names CONTRIBUTING.md and CODE_OF_CONDUCT.md but neither GOVERNANCE.md nor ROADMAP.md; N2 owns README.md. BLIND SPOT DECLARED: the brief calls arm64 'blocked on an arm64 Chrome/Neko base'. I verified only the Chrome half (worker/Dockerfile:116 fetches google-chrome-stable_current_amd64.deb). I did NOT establish whether ghcr.io/m1k1o/neko/base publishes an arm64 manifest, so ROADMAP.md names only the Chrome blocker -- understating the blocker, which is the safe direction, but it is a choice and not a measurement."
T1,local,1,"Local host server: /os document, bundle by path, the 9 /api/shell/* routes, config",local/src/server/**;local/src/boot/**;local/src/config.ts,T0,worker-opus,opus,max,worktree,local/src/contract/shell-api.ts;local/src/host/sandbox-host.ts,bun run --cwd local typecheck && bun test local/,,INDEPENDENT_TEST_PASS,done,wf-os-2026-09-04,"bun run --cwd local typecheck: clean. bun test local/: 135 pass / 0 fail, 501 expect() calls, 6 files (T0's 49 unchanged and still green; T1 adds 86). 6 mutations, each RED then restored GREEN: (1) LOOPBACK_BIND_ADDRESSES gains 0.0.0.0 + config binds it -> 4 red, including a REAL reachability probe that then connected on 10.60.1.4; (2) /os built with bare JSON.stringify instead of the byte-identical serializer -> 3 red (payload closes its own <script>, 4 closes in a 3-element document); (3) guacamoleRunning derived from containerState==='running' -> 1 red on a running container with a dead desktop; (3b) POST /desktop trusting ensureDesktop instead of re-reading status -> 1 red; (4) frame-probe origin pin removed -> 1 red; (5) defer -> async on the bundle script tag -> 1 red. Live run: bun run --cwd local start --fake-host on 127.0.0.1:7080 served /os with the inlined payload, the stylesheet link and both deferred scripts; all 9 /api/shell/* routes answered (session 200, desktop 200, frame/display 200, preview-url + code-preview-url 200 with the loopback origins, focus 200, telemetry 202 + NDJSON written to disk, restart 200, activity 200, screen GET/POST 200), unknown route 404 JSON, / -> 302 /os; the three bundle files served from app/public/os with correct content types and mtime-derived weak ETags (703906 / 95044 / 48841 bytes). Live POST /desktop honestly refused with desktop_unreachable because nothing was serving 8181, even though the fake host reported desktopReady:true. Server killed; nothing listening on 7080 afterwards (curl: connection refused). MEASURED against ezil-neko-vscode:d74052bb-049931d7: /etc/neko/neko.yaml ships session.implicit_hosting:false, `neko serve --help` lists --session.implicit_hosting (default true), and NEKO_SESSION_* env binds (NEKO_SESSION_FILE probe printed 'sessions file does not exist file=... module=session'; control with no env printed nothing). Two defects found by the tests' own positive controls, not by review: GET /api/shell/session shared the isNew-consuming accessor and burned the latch; the no-hostname scanner treated the '//' in 'https://' as a comment, waving through the exact thing it exists to catch. NOT proven here: anything about the Docker adapter (row T2) — every test runs against a FakeSandboxHost."
T2,local,1,Docker adapter over docker run/exec; local ICE env; never imports checkIceConfig,local/src/host/docker-host.ts;local/src/host/docker-host.test.ts;local/src/ice.ts;local/src/ice.test.ts;local/src/container/**,T0,worker-opus,opus,max,worktree,local/src/host/sandbox-host.ts;local/src/container/run-spec.ts,bun run --cwd local typecheck && bun test local/ && docker run of the pinned image boots,,WORKER_RUNTIME_EVIDENCE,done,wf-os-2026-09-04,"124 pass / 0 fail, 455 expect() calls across 5 files in local/ (49 pre-existing run-spec+shell-api held green, 15 ice, 44 docker-host unit, 16 docker-host.container); `bun run --cwd local typecheck` clean. The container suite really boots the pinned image ezil-os-worker-sandbox:ff199202 on Docker 29.1.3 at hostPortOffset=10000. MEASURED: cold boot (docker run -> authenticated neko login) 5.7s; container memory after ready 591.3MiB/8GiB; warm ensureDesktop (reuse) 75ms; restartDesktop (stop+start+ready) 7.6s; host UDP mux bound `UNCONN 127.0.0.1:62100`; neko log (ANSI-stripped) `webrtc starting epr=0-0 icelite=true icetrickle=true module=webrtc nat1to1=127.0.0.1 tcpmux=62100 udpmux=62100`; zero occurrences of checkip/ip_retrieval/amazonaws, with `webrtc starting`+`nat1to1=` asserted in the same test as the positive control. MUTATIONS RED->GREEN, 7 of them: drop NEKO_WEBRTC_NAT1TO1 -> 6 red; assertNotDefault made a no-op -> 3 red; /health body check dropped so a bare 200 is ready -> 1 red; /api/login strict parse dropped so any 200 is ready -> 2 red; mux offset applied to the host side only (the silent-media bug) -> 3 red; fetchIn reverted to `port + offset` -> 1 red (only the mux case can tell the two apart; every HTTP-port assertion stays green, which is why that case exists); each restored -> 0 fail. CONTAINER-LEVEL MUTATION: the same image booted with NO password env answers HTTP 200 with profile.is_admin true for the literal `admin` and 200 for `neko` while a wrong password is 401 -- so the suite's 401s are a fact about this host's minting, not about neko rejecting everything. Containers cleaned up: `docker ps -a` lists none of mine."
T3,image,1,Neko build inputs in-repo; GHCR image workflow with cosign + provenance,docker/neko/**;worker/Dockerfile;.github/workflows/image.yml,T0,worker-sonnet,sonnet,high,worktree,deploy/images.env;EBuilder/infra/neko-standalone/scripts/build.sh,actionlint .github/workflows/image.yml; docker build -f worker/Dockerfile worker/ (amd64),,DEPLOYED,done,wf-os-2026-09-04,"3 commits, 3 files owned: docker/neko/pins.env (new), docker/neko/build.sh (new, chmod +x), worker/Dockerfile (ARG NEKO_IMAGE -> GHCR overlay ref + EXPOSE 8443, +11/-1 diff, nothing else touched), .github/workflows/image.yml (new, 2 jobs). Static: python3 yaml.safe_load(image.yml) pass; bash -n on all 10 run: blocks extracted from image.yml pass; bash -n docker/neko/build.sh pass; 6/6 action tags resolve via gh api (actions/checkout@v7, docker/login-action@v3, sigstore/cosign-installer@v3, actions/attest-build-provenance@v2, docker/setup-buildx-action@v3, docker/build-push-action@v6). Logic simulated locally (not just syntax): build.sh --dry-run computes ezil-neko-vscode:d74052bb-049931d7, matching deploy/images.env's EZIL_NEKO_IMAGE:EZIL_NEKO_TAG exactly; build.sh --help and --bogus-arg (rejected, exit 1) both verified; image.yml's pins-consistency check simulated against real docker/neko/pins.env + deploy/images.env + worker/Dockerfile -> both guards MATCH; the rebuild-gate git-diff logic simulated against this worktree's own commit history -> correctly detects docker/neko/** changed (build=true) and correctly detects no-op (build=false); tag-computation step simulated for push-to-main, push-v-tag, and other-branch cases -> all 3 correct. Real local docker build: `docker build --build-arg NEKO_IMAGE=ezil-neko-vscode:d74052bb-049931d7-ezil-brand8 -t ezil-os-desktop:t3-check -f worker/Dockerfile worker` exit 0, 4.07s wall (full cache hit from a prior identical build on this box - not a cold build; FROM resolved to the exact pinned overlay digest sha256:1adfc02efc77... proving the ARG change is live, not stale); `docker image inspect --format ExposedPorts` -> 8443/tcp present (confirmed ABSENT from main@fc6fbcd's Dockerfile via git show, so this is genuinely the new line taking effect, not a stale cached tag); size 4.57GB per `docker image ls` (1386229874 bytes / 1.39GB per `docker image inspect .Size`, shared-layer accounting differs between the two commands - both numbers reported for honesty); image removed after inspection. One real bug caught and fixed before commit: deploy/images.env is NOT shell-sourceable (EZIL_DESKTOP_TAG=<to be pinned by CI> throws a real bash 'unexpected token' error under `source`, reproduced locally) - switched both 'Load image pins' steps to grep, matching local/src/container/run-spec.ts's parseImagesEnv contract; also caught and fixed a wrong attest-build-provenance subject-name (was image:tag, must be the bare image name per that action's own documented example) before it ever ran. GHCR push, cosign sign, and attest-build-provenance can only be proven by the workflow running on GitHub after merge - named as a supervisor step, not run here. docker/neko/build.sh's full clone+build path (network clone of m1k1o/neko + m1k1o/neko-apps, ~3GB image build) was deliberately NOT run end to end per the brief; only --dry-run and --help were exercised. POST-ADVISOR-REVIEW FIX (2nd commit a34f58b): advisor caught a real blocking bug -- the gate would rebuild+push on every v* tag and on comment-only pins.env edits, silently overwriting the immutable base/overlay tags with different bytes (worker/assets/neko-branding/Dockerfile's own header documents the upstream Vue build is NOT reproducible from the same pinned SHAs). Fixed: gate now probes `docker manifest inspect` for the tag's existence before building, skips if already published unless rebuild_base=true is explicit (which now emits a loud ::warning::). Also fixed: base is pushed BEFORE the overlay is built (was after both), since the overlay's FROM needs the ghcr.io/-qualified ref to resolve against something real, not just a same-runner local coincidence -- confirmed via local test that `docker manifest inspect` against ghcr.io/ezilhq needs auth (anonymous returns denied, not 404), so GHCR login was moved before the gate. Also: concurrency.cancel-in-progress true->false (matches deploy.yml's reasoning -- a cancel between push and sign would leave an unsigned image live); softened an overclaimed 'VERIFIED, NOT ASSUMED' header comment about paths/tags AND semantics to match what the WebFetch actually returned; added an explicit hand-off comment that EZIL_DESKTOP_TAG in deploy/images.env is never written back by this workflow (contents: read on purpose; no row owns that write-back yet). Re-verified after rewrite: yaml.safe_load pass; bash -n on all 11 run: blocks pass; new gate logic simulated for 4 cases (first publish / already-published no-force / already-published forced / partial publish) -- all 4 correct."
O3,kit,1,"tools/worktree.sh (five link farms, sdk copy fix) and tools/test.sh (skip is not pass)",tools/worktree.sh;tools/test.sh,O1;O2,worker-opus,opus,max,worktree,EZiL-Works/tools/worktree.sh;EZiL-Works/tools/test.sh,EZIL_VALIDATE_IMAGE=absent:x EZIL_NEKO_IMAGE=absent:x ./tools/test.sh worker src/browser-sidecar.container.test.ts src/neko-browser-window.container.test.ts scripts/mobile-keyboard.container.test.ts (exit 1 naming the skips and the vacuous pass); tools/worktree.sh add smoke && readlink -f .claude/worktrees/smoke/mcp/node_modules/@ezil-os/sdk && tools/worktree.sh remove smoke,,INDEPENDENT_TEST_PASS,done,wf-os-2026-09-04,"tools/worktree.sh + tools/test.sh, 6 commits (2f35f98, 95898d7, 9a188f8, 02b4ece, ab5465f, c5b4713). worktree.sh: `add smoke` -> readlink -f smoke/mcp/node_modules/@ezil-os/sdk = <smoke>/sdk (INSIDE the worktree); du -sh 12M vs 1.1G of main stores; ext4 measured (cp --reflink=always -> Operation not supported, --reflink=auto -> full copy); sdk+mcp+tools typecheck green in smoke with no PATH prefix; MUTATION: a type error in <smoke>/sdk/src/index.ts turns <smoke>/mcp RED (TS2322 ../sdk/src/index.ts) while the OLD whole-dir-symlink hydration in <O3> leaves mcp GREEN with sdk RED (the shipped defect, reproduced); main sdk/src/index.ts sha unchanged. remove: an old-style worktree torn down left every main store entry count identical (app 348, worker 35, shell 32, sdk 7, mcp 99, local 5), dir and branch gone; secrets copied 0600 as regular files and shredded. add <id> <base> with an explicit ref works; add refuses an existing id (exit 1). test.sh: tools 76 pass/0 fail, sdk 20 pass/0 fail, mcp 33 pass/0 fail, app 696 pass across 39 files exit 0; worker REAL run 1042 pass/11 skip/8 fail in 245s exit 1 with all 11 skips named. GUARDS, all mutation-proved: container skips with images induced absent -> exit 1 naming 15+8; with EZIL_ALLOW_SKIPPED_CONTAINER_TESTS=1 -> exit 0 announcing; parser blinded to <skipped/> -> exit 0 SILENTLY (RED) and restored -> exit 1 (GREEN). New vacuous-pass gate: scripts/mobile-keyboard.container.test.ts reports 8 pass/0 skip with no image (early return inside it bodies) -> gate exits 1 naming it EVEN WITH the allow flag set; silent for the two honest suites and for a non-container file. shell: --strict -> VERDICT FAILED, exit 1 naming the skipped browser suite; EZIL_ALLOW_SKIPPED_BROWSER_SUITES=1 -> PASSED WITH SKIPS, exit 0. PATH prepend mutation-proved: removed -> `tsc: command not found` exit 127 -> typecheck gate fires (RED); restored -> 76 pass (GREEN), in a tree with no tools/node_modules. `all` fixed after its first draft named an absent package among the passes."
